timestamp,cpu_percent,mem_used_gb,mem_available_gb,disk_read_mb,disk_write_mb,gpu_util_percent,gpu_mem_used_gb,gpu_mem_total_gb
2026-05-09T03:29:08.521857,1.6,12.05,18.45,245897.57,511171.82,27,2.1,8.0
2026-05-09T03:30:09.524067,1.8,12.04,18.46,245897.57,511193.21,27,2.1,8.0
2026-05-09T03:31:10.526041,1.9,12.05,18.45,245897.58,511212.52,26,2.1,8.0
2026-05-09T03:32:11.528228,1.6,12.06,18.44,245897.58,511233.56,26,2.1,8.0
2026-05-09T03:33:12.530318,1.7,12.06,18.44,245897.58,511255.41,26,2.1,8.0
2026-05-09T03:34:13.532438,1.5,12.06,18.44,245897.58,511275.13,28,2.1,8.0
2026-05-09T03:35:14.534410,1.6,12.07,18.43,245897.6,511287.69,25,2.1,8.0
2026-05-09T03:36:15.536661,1.7,12.05,18.45,245897.6,511314.62,26,2.1,8.0
2026-05-09T03:37:16.538377,1.7,12.04,18.45,245897.6,511334.74,59,2.1,8.0
2026-05-09T03:38:17.540298,1.8,12.1,18.39,245897.6,511358.19,35,2.1,8.0
2026-05-09T03:39:18.542206,1.7,12.09,18.41,245897.6,511379.72,26,2.1,8.0
2026-05-09T03:40:19.544021,1.6,12.07,18.43,245899.1,511394.3,54,2.1,8.0
2026-05-09T03:41:20.546044,1.5,12.14,18.36,245899.1,511419.87,60,2.1,8.0
2026-05-09T03:42:21.548432,1.8,12.11,18.39,245899.11,511442.23,26,2.1,8.0
2026-05-09T03:43:22.550367,1.6,12.11,18.38,245899.13,511465.66,60,2.1,8.0
2026-05-09T03:44:23.552283,1.9,12.11,18.39,245899.14,511477.95,27,2.1,8.0
2026-05-09T03:45:24.554356,1.8,12.14,18.36,245899.14,511498.03,32,2.1,8.0
2026-05-09T03:46:25.556174,1.6,12.11,18.38,245899.15,511523.73,32,2.1,8.0
2026-05-09T03:47:26.558492,1.6,12.12,18.37,245899.16,511546.39,27,2.1,8.0
2026-05-09T03:48:27.560514,1.6,12.13,18.37,245899.18,511559.17,27,2.1,8.0
